Player Name,Nationality,Team,Kit Number,League,Height(inches),Height(cm),Weight(lbs),Weight(kg),Best Position,Best Foot,Weak Foot,Skill moves,International Reputation,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FreeKick Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Striker (ST),Left Wing (LW),Left Forward (LF),Center Forward (CF),Right Forward (RF),Right Wing (RW),Center Attacking Midfielder (CAM),Left Midfielder (LM),Center Midfielder (CM),Right Midfielder (RM),Left Wing Back (LWB),Center Defensive Midfielder (CDM),Right Wing Back (RWB),Left Back (LB),Center Back (CB),Right Back (RB),Goalkeeper (GK),Attacking Average,Attacking Total,Skill Average,Skill Total,Movement Average,Movement Total,Power Average,Power Total,Mentality Average,Mentality Total,Defending Average,Defending Total,Goalkeeping Average,Goalkeeping Total,Base stats,Total Stats
Matija Šarkić,Montenegro,Wolverhampton Wanderers,13,English Premier League,6'5,195 ,168,76,Goalkeeper (GK),Right,2,1,1,11,13,18,27,13,12,18,12,30,25,40,33,33,66,28,50,52,20,42,17,20,6,6,22,26,27,11,19,14,68,66,67,68,68,28,23,25,25,25,23,26,26,27,26,24,25,24,24,24,24,69,16,82,19,97,40,200,36,181,18,107,15,44,67,337,374,1021
Connor Ronan,Republic of Ireland,Wolverhampton Wanderers,25,English Premier League,5'7,170 ,154,70,Center Attacking Midfielder (CAM),Right,3,3,1,62,66,38,72,55,68,70,73,68,71,74,71,76,53,85,69,52,77,34,64,40,55,58,70,60,65,52,60,56,14,11,16,11,9,63,67,66,66,66,67,70,69,69,69,65,63,65,63,54,63,18,59,293,70,350,72,359,59,296,58,348,56,168,12,61,377,1793
Leonardo B. Lohner Maia,Brazil,Wolverhampton Wanderers,26,English Premier League,6'1,185 ,181,82,Striker (ST),Right,4,3,1,63,64,65,67,67,67,65,62,60,67,63,55,64,69,65,71,70,63,72,63,60,33,71,65,74,68,30,28,29,15,12,8,10,15,67,65,66,66,66,65,67,67,64,67,53,53,53,51,49,51,21,65,326,64,321,63,316,68,339,62,371,29,87,12,60,356,1752
Boubacar Traoré,Mali,Wolverhampton Wanderers,6,English Premier League,6'0,183 ,148,67,Center Defensive Midfielder (CDM),Right,2,2,1,47,42,56,70,41,67,52,47,69,69,54,58,69,66,70,62,64,62,73,48,63,62,53,59,52,56,59,68,60,12,10,15,11,11,60,59,60,60,60,59,64,63,66,63,64,68,64,63,66,63,19,51,256,61,304,63,317,62,309,58,345,62,187,12,59,362,1762
Yerson Mosquera,Colombia,Wolverhampton Wanderers,14,English Premier League,6'2,187 ,168,76,Center Back (CB),Right,3,2,1,25,17,64,55,26,28,25,29,34,60,67,80,61,62,55,35,73,59,73,15,63,64,28,36,37,46,63,63,63,8,7,8,10,8,46,43,43,43,43,43,46,47,48,47,59,60,59,62,66,62,16,37,187,35,176,65,325,51,255,46,274,63,189,8,41,311,1409
Chem Campbell,Wales,Wolverhampton Wanderers,77,English Premier League,5'11,180 ,159,72,Center Attacking Midfielder (CAM),Right,4,4,1,57,54,42,58,52,66,64,63,54,65,75,67,71,53,74,62,59,55,53,57,45,31,52,56,57,56,42,45,43,11,11,12,7,7,59,61,59,59,59,61,62,62,58,62,54,51,54,53,48,53,16,53,263,62,312,68,340,57,286,50,297,43,130,10,48,342,1620
Luke Matheson,England,Wolverhampton Wanderers,41,English Premier League,5'6,168 ,137,62,Right Back (RB),Right,2,3,1,53,31,45,56,33,52,45,38,43,58,77,70,82,55,84,43,70,69,44,39,53,57,53,54,43,51,56,53,54,11,9,6,11,8,51,55,53,53,53,55,56,58,55,58,60,57,60,60,56,60,17,44,218,47,236,74,368,53,265,52,311,54,163,9,45,328,1555
Hugo Bueno López,Spain,Wolverhampton Wanderers,64,English Premier League,5'11,180 ,161,73,Left Midfielder (LM),Left,3,3,1,67,43,47,54,40,65,56,51,53,58,75,75,69,53,68,44,63,54,63,36,60,52,56,46,49,45,50,53,52,9,12,13,6,11,55,58,55,55,55,58,57,61,55,61,60,56,60,59,56,59,16,50,251,57,283,68,340,52,260,51,308,52,155,10,51,346,1603
Tyler Roberts,Jamaica,Wolverhampton Wanderers,87,English Premier League,5'10,177 ,154,70,Right Midfielder (RM),Right,4,3,1,46,54,37,47,53,53,56,52,42,52,88,77,79,46,76,54,51,52,48,51,35,28,49,46,48,47,29,34,31,10,9,14,13,13,54,55,53,53,53,55,54,56,48,56,47,42,47,46,39,46,17,47,237,51,255,73,366,51,256,42,253,31,94,12,59,316,1473
Joe Hodge,Republic of Ireland,Wolverhampton Wanderers,59,English Premier League,5'8,172 ,143,65,Center Attacking Midfielder (CAM),Right,2,2,1,49,38,48,58,37,55,43,41,55,58,69,64,74,58,78,56,56,56,54,51,67,46,51,55,53,57,44,52,50,12,8,5,15,8,54,55,54,54,54,55,58,58,57,58,56,56,56,55,54,55,18,46,230,50,252,69,343,55,273,55,329,49,146,10,48,330,1564
Harry Birtwistle,Singapore,Wolverhampton Wanderers,85,English Premier League,5'11,180 ,170,77,Right Wing Back (RWB),Right,3,2,1,54,50,44,52,41,49,44,47,50,50,78,72,66,48,67,54,60,49,41,48,59,48,52,46,42,44,50,51,49,7,9,6,7,13,53,54,52,52,52,54,54,55,52,55,55,52,55,55,52,55,15,48,241,48,240,66,331,50,252,49,291,50,150,8,42,324,1503
