Player Name,Nationality,Team,Kit Number,League,Height(inches),Height(cm),Weight(lbs),Weight(kg),Best Position,Best Foot,Weak Foot,Skill moves,International Reputation,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FreeKick Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Striker (ST),Left Wing (LW),Left Forward (LF),Center Forward (CF),Right Forward (RF),Right Wing (RW),Center Attacking Midfielder (CAM),Left Midfielder (LM),Center Midfielder (CM),Right Midfielder (RM),Left Wing Back (LWB),Center Defensive Midfielder (CDM),Right Wing Back (RWB),Left Back (LB),Center Back (CB),Right Back (RB),Goalkeeper (GK),Attacking Average,Attacking Total,Skill Average,Skill Total,Movement Average,Movement Total,Power Average,Power Total,Mentality Average,Mentality Total,Defending Average,Defending Total,Goalkeeping Average,Goalkeeping Total,Base stats,Total Stats
Frederico Peter Cabral Bardini,Brazil,Clube Atlético Mineiro,1,Campeonato Brasileiro Série A,6'2,188 ,183,83,Goalkeeper (GK),Right,2,1,1,19,11,17,14,15,21,20,12,16,21,42,53,40,70,39,52,41,31,56,14,22,15,12,67,13,62,17,14,10,73,77,69,76,66,30,28,30,30,30,28,32,31,30,31,27,26,27,27,26,27,73,15,76,18,90,49,244,39,194,32,191,14,41,72,361,407,1135
Nildo Enaldo Reisão Dinis,Brazil,Clube Atlético Mineiro,16,Campeonato Brasileiro Série A,6'3,191 ,198,90,Center Defensive Midfielder (CDM),Right,3,2,1,57,32,51,71,22,42,23,50,70,53,48,56,44,70,36,55,57,87,86,45,83,74,46,52,55,57,78,74,76,16,9,8,9,7,53,51,51,51,51,51,55,57,64,57,70,73,70,71,73,71,19,47,233,48,238,51,254,66,330,61,367,76,228,10,49,358,1642
Heitor Edvaldo Barreto Gesser,Brazil,Clube Atlético Mineiro,15,Campeonato Brasileiro Série A,5'10,178 ,152,69,Left Back (LB),Left,2,2,1,72,48,58,71,55,61,67,61,58,64,74,81,62,72,74,67,62,73,51,55,72,71,61,58,56,74,78,62,69,13,10,16,9,13,63,64,63,63,63,64,65,68,66,68,72,69,72,72,69,72,20,61,304,62,311,73,363,62,308,65,392,70,209,12,61,393,1874
Luiz Santiago Sacramento Cruz,Brazil,Clube Atlético Mineiro,13,Campeonato Brasileiro Série A,6'2,188 ,170,77,Goalkeeper (GK),Right,2,1,1,18,14,17,16,13,13,17,14,15,32,45,46,43,61,55,54,59,41,56,15,23,12,16,69,22,42,12,19,15,74,68,72,74,71,31,29,31,31,31,29,33,32,32,32,28,28,28,28,27,28,72,16,78,18,91,50,250,45,225,31,184,15,46,72,359,404,1191
Evandro Sérgio Rochedo Paulino,Brazil,Clube Atlético Mineiro,9,Campeonato Brasileiro Série A,6'2,187 ,181,82,Striker (ST),Right,4,3,1,57,75,64,64,73,70,63,72,55,74,59,52,63,77,54,79,59,39,80,74,58,37,75,54,72,73,15,44,45,9,15,9,12,11,72,67,70,70,70,67,69,66,64,66,53,54,53,52,52,52,21,67,333,67,334,61,305,66,331,62,369,35,104,11,56,360,1759
Alam Cristian Boas Anjos,Brazil,Clube Atlético Mineiro,30,Campeonato Brasileiro Série A,5'11,180 ,165,75,Center Defensive Midfielder (CDM),Right,3,2,1,43,41,58,75,37,60,48,47,69,70,65,55,71,68,85,23,69,77,72,42,85,69,55,58,49,65,67,73,70,9,10,12,12,11,56,59,58,58,58,59,64,63,68,63,68,72,68,69,72,69,19,51,254,59,294,69,344,57,283,64,381,70,210,11,54,372,1755
Jailson Pietro Oliva Chiamulera,Brazil,Clube Atlético Mineiro,3,Campeonato Brasileiro Série A,5'7,171 ,143,65,Right Back (RB),Right,3,3,1,64,33,50,62,36,68,53,43,56,64,84,78,85,66,87,54,74,77,44,34,62,72,41,50,42,62,65,70,66,12,13,9,11,16,54,60,57,57,57,60,60,64,62,64,70,66,70,70,65,70,21,49,245,57,284,80,400,57,283,55,329,67,201,12,61,370,1741
Tiago Nathan Pombeira Gesser,Brazil,Clube Atlético Mineiro,28,Campeonato Brasileiro Série A,5'8,173 ,143,65,Center Attacking Midfielder (CAM),Left,3,3,1,62,61,39,70,60,74,73,71,63,70,75,73,81,69,83,68,53,59,45,66,37,36,66,71,69,63,27,33,29,11,9,8,8,10,66,69,69,69,69,69,70,70,67,70,56,53,56,52,43,52,18,58,292,70,351,76,381,58,291,57,342,30,89,9,46,358,1729
Paolo Marco Leima Donatelo,Brazil,Clube Atlético Mineiro,24,Campeonato Brasileiro Série A,5'7,169 ,152,69,Right Wing Back (RWB),Right,3,2,1,69,41,54,68,49,70,63,45,69,71,74,76,63,68,71,65,68,77,65,51,84,65,65,60,54,54,58,69,62,7,8,11,11,7,63,65,64,64,64,65,67,70,69,70,70,70,70,69,67,69,17,56,281,64,318,70,352,65,326,64,382,63,189,9,44,394,1838
Alessio Cragno,Italy,AC Monza,89,Italian Serie A,6'0,184 ,172,78,Goalkeeper (GK),Right,3,1,1,15,12,12,31,13,13,11,12,25,21,41,37,37,75,43,55,74,43,55,17,33,19,15,42,31,59,20,11,12,82,79,73,77,83,30,26,29,29,29,26,31,30,32,30,29,31,29,28,28,28,81,17,83,16,82,47,233,49,244,33,199,14,43,79,394,433,1215
Stefano Sensi,Italy,AC Monza,12,Italian Serie A,5'6,168 ,137,62,Center Attacking Midfielder (CAM),Right,4,4,1,78,53,45,86,49,82,75,75,83,88,77,73,86,71,91,69,68,59,50,73,71,71,62,85,73,77,61,69,72,10,6,8,11,13,68,76,74,74,74,76,79,79,79,79,76,76,76,73,68,73,19,62,311,81,403,80,398,64,319,73,439,67,202,10,48,425,2078
Matteo Pessina,Italy,AC Monza,32,Italian Serie A,6'0,183 ,165,75,Center Attacking Midfielder (CAM),Left,2,3,2,70,72,63,80,68,77,72,45,76,81,69,75,75,78,65,74,59,81,68,68,70,72,76,78,56,76,72,72,68,13,9,7,13,7,76,76,76,76,76,76,79,78,79,78,76,77,76,75,73,75,20,71,353,70,351,72,362,70,350,71,428,71,212,10,49,437,2048
Gianluca Caprari,Italy,AC Monza,17,Italian Serie A,5'9,176 ,159,72,Center Attacking Midfielder (CAM),Right,4,3,2,74,74,50,78,66,83,78,75,73,81,89,81,91,75,89,75,48,73,54,73,39,35,74,77,61,71,33,28,29,9,8,14,6,11,75,78,78,78,78,78,78,78,74,78,62,58,62,58,46,58,18,68,342,78,390,85,425,65,323,60,357,30,90,10,48,405,1922
Nicolò Rovella,Italy,AC Monza,6,Italian Serie A,5'10,179 ,154,70,Center Midfielder (CM),Right,4,3,1,65,52,48,79,66,75,73,71,73,77,69,75,77,72,77,66,67,83,53,75,68,70,67,76,56,72,70,72,69,9,12,11,9,10,67,71,71,71,71,71,75,74,77,74,75,75,75,73,69,73,19,62,310,74,369,74,370,69,344,68,409,70,211,10,51,415,2070
Andrea Petagna,Italy,AC Monza,37,Italian Serie A,6'3,190 ,187,85,Striker (ST),Left,3,3,2,60,78,78,75,66,76,59,45,64,80,52,64,57,73,71,80,79,74,92,62,62,22,80,75,80,74,40,27,20,3,3,3,5,3,77,72,75,75,75,72,76,74,71,74,55,57,55,52,53,52,13,71,357,65,324,63,317,77,387,66,393,29,87,3,17,392,1808
Samuele Birindelli,Italy,AC Monza,19,Italian Serie A,5'9,175 ,154,70,Right Wing Back (RWB),Right,4,3,1,67,44,58,69,39,70,58,53,68,72,83,85,81,68,80,63,74,79,60,45,63,73,57,55,56,63,70,74,74,10,10,15,15,8,63,66,64,64,64,66,67,70,68,70,75,72,75,75,71,75,19,55,277,64,321,79,397,64,321,61,367,73,218,12,58,406,1896
Michele Di Gregorio,Italy,AC Monza,16,Italian Serie A,6'2,187 ,179,81,Goalkeeper (GK),Right,3,1,1,13,9,11,28,11,18,17,14,19,20,35,23,38,63,35,53,66,44,62,18,26,15,9,38,17,56,21,14,10,77,74,71,75,78,27,23,25,25,25,23,28,27,29,27,26,28,26,25,27,25,76,14,72,18,88,39,194,49,243,27,161,15,45,75,375,405,1175
Marlon da Silva Barbosa,Brazil,AC Monza,4,Italian Serie A,6'0,182 ,192,87,Center Back (CB),Right,3,3,1,43,40,71,70,33,64,57,46,69,71,67,69,63,72,63,61,61,69,83,36,77,73,36,51,58,74,75,76,76,8,15,16,13,12,60,58,58,58,58,58,62,62,66,62,70,74,70,72,76,72,21,51,257,61,307,67,334,62,310,62,369,76,227,13,64,390,1798
Samuele Birindelli,Italy,AC Monza,19,Italian Serie A,5'9,175 ,154,70,Right Wing Back (RWB),Right,4,3,1,67,44,58,69,39,70,58,53,68,72,83,85,81,68,80,63,74,79,60,45,63,73,57,55,56,63,70,74,74,10,10,15,15,8,63,66,64,64,64,66,67,70,68,70,75,72,75,75,71,75,19,55,277,64,321,79,397,64,321,61,367,73,218,12,58,406,1918
Dany Mota Carvalho,Portugal,AC Monza,47,Italian Serie A,5'11,180 ,163,74,Striker (ST),Right,3,3,1,54,76,72,74,72,77,58,51,59,79,73,77,68,70,69,72,47,75,66,68,42,22,74,70,60,70,26,27,29,13,10,14,6,7,76,73,74,74,74,73,75,74,69,74,56,53,56,53,46,53,18,70,348,65,324,71,357,66,328,56,338,27,82,10,50,382,1803
Armando Izzo,Italy,AC Monza,55,Italian Serie A,6'0,183 ,179,81,Center Back (CB),Right,4,2,2,35,19,73,62,32,63,26,26,60,66,64,69,64,76,66,56,76,74,74,44,76,75,16,33,34,68,75,75,73,12,6,10,11,12,52,51,51,51,51,51,54,56,59,56,69,71,69,71,74,71,19,44,221,48,241,68,339,65,324,50,302,74,223,10,51,362,1615
Patrick Ciurria,Italy,AC Monza,84,Italian Serie A,5'10,178 ,148,67,Center Attacking Midfielder (CAM),Left,3,3,1,62,72,51,69,72,74,73,62,63,75,75,76,77,68,77,72,72,74,54,69,42,20,71,72,64,60,40,24,25,14,8,10,6,9,71,72,72,72,72,72,73,73,68,73,56,52,56,52,44,52,18,65,326,69,347,75,373,68,341,55,329,30,89,9,47,377,1921
Andrea Colpani,Italy,AC Monza,28,Italian Serie A,6'0,184 ,165,75,Center Midfielder (CM),Left,2,3,1,66,58,60,76,61,74,75,58,73,75,67,69,65,69,66,68,62,77,64,64,47,62,66,70,60,71,62,64,62,10,9,6,12,11,68,69,69,69,69,69,72,73,73,73,70,70,70,69,65,69,19,64,321,71,355,67,336,67,335,63,376,63,188,10,48,400,1938
Luca Caldirola,Italy,AC Monza,5,Italian Serie A,6'1,186 ,172,78,Center Back (CB),Left,3,2,2,62,28,74,71,50,59,51,51,66,61,48,46,53,71,53,63,80,42,80,46,66,74,50,57,42,70,69,75,70,9,10,10,6,12,57,55,56,56,56,55,59,59,64,59,66,70,66,67,72,67,18,57,285,58,288,54,271,62,311,60,359,71,214,9,47,353,1712
Andrea Barberis,Italy,AC Monza,8,Italian Serie A,5'10,177 ,159,72,Center Defensive Midfielder (CDM),Right,2,2,1,67,38,48,75,56,64,57,68,72,72,74,74,73,73,71,59,64,83,53,57,78,73,72,66,51,65,67,73,68,6,14,10,6,14,62,67,65,65,65,67,70,71,73,71,74,74,74,73,69,73,19,57,284,67,333,73,365,63,316,68,405,69,208,10,50,395,1883
Carlos Augusto Zopolato Neves,Brazil,AC Monza,30,Italian Serie A,6'0,184 ,165,75,Left Wing Back (LWB),Left,2,2,1,72,49,73,72,47,70,54,37,66,72,65,68,69,69,54,51,67,78,67,51,70,70,68,64,43,69,70,72,72,11,12,5,12,13,65,67,65,65,65,67,69,70,71,70,73,72,73,73,73,73,20,63,313,60,299,65,325,63,314,64,384,71,214,11,53,395,1940
Christian Gytkjær,Denmark,AC Monza,9,Italian Serie A,6'1,185 ,170,77,Striker (ST),Right,4,3,1,51,74,72,62,67,66,61,55,45,73,68,73,70,74,68,77,81,64,78,70,67,32,76,61,76,75,42,16,19,11,12,12,14,15,73,68,70,70,70,68,70,68,62,68,52,52,52,50,50,50,22,65,326,60,300,71,353,74,370,65,387,26,77,13,64,376,1772
Mattia Valoti,Italy,AC Monza,10,Italian Serie A,5'11,181 ,168,76,Center Midfielder (CM),Right,3,3,1,72,68,48,78,69,74,78,65,76,77,61,63,72,69,76,68,53,71,39,73,58,59,71,73,75,73,50,56,51,6,12,11,8,14,68,72,71,71,71,72,73,73,73,73,67,67,67,64,57,64,19,67,335,74,370,68,341,61,304,68,409,52,157,10,51,388,1887
José Ndong Machín Dicombo,Equatorial Guinea,AC Monza,7,Italian Serie A,6'0,184 ,163,74,Center Attacking Midfielder (CAM),Right,3,3,1,59,63,58,75,52,74,65,65,72,74,63,61,70,71,65,65,59,71,63,67,63,59,73,73,48,61,53,63,51,6,7,13,7,10,69,69,70,70,70,69,74,72,74,72,66,68,66,64,63,64,17,61,307,70,350,66,330,65,325,63,377,56,167,9,43,390,1850
Giulio Donati,Italy,AC Monza,2,Italian Serie A,5'10,178 ,168,76,Center Back (CB),Right,3,2,2,70,30,68,66,47,59,55,46,68,63,64,67,62,71,69,65,66,73,69,43,89,73,49,51,51,66,70,73,73,16,15,8,9,8,58,58,57,57,57,58,60,63,64,63,71,72,71,72,72,72,20,56,281,58,291,67,333,63,316,63,379,72,216,11,56,379,1778
Marco D’Alessandro,Italy,AC Monza,77,Italian Serie A,5'8,173 ,143,65,Left Midfielder (LM),Right,3,3,1,72,54,44,70,68,77,73,59,58,75,88,86,90,60,83,68,43,69,38,62,38,31,61,60,58,74,66,36,29,14,11,11,6,9,65,71,68,68,68,71,71,71,65,71,62,55,62,58,48,58,18,62,308,68,342,81,407,56,280,54,322,44,131,10,51,380,1764
Luca Marrone,Italy,AC Monza,34,Italian Serie A,6'1,186 ,165,75,Center Back (CB),Right,3,3,1,67,48,72,74,64,68,72,72,74,74,49,55,54,71,63,79,69,69,75,70,74,73,56,71,73,73,71,72,66,8,4,3,7,5,66,64,65,65,65,64,69,68,72,68,71,72,71,70,72,70,15,65,325,72,360,58,292,72,362,70,420,70,209,5,27,398,1901
Andrea Carboni,Italy,AC Monza,44,Italian Serie A,6'1,185 ,176,80,Center Back (CB),Left,2,2,1,60,21,60,63,27,59,40,33,50,69,57,55,50,65,55,41,73,65,72,26,67,72,29,45,37,60,72,73,74,8,13,12,12,9,49,52,50,50,50,52,54,57,58,57,68,68,68,69,72,69,19,46,231,50,251,56,282,55,277,52,310,73,219,11,54,339,1564
Gabriel Paletta,Italy,AC Monza,29,Italian Serie A,6'3,190 ,176,80,Center Back (CB),Right,2,2,3,30,16,70,48,38,46,48,35,52,48,28,32,28,66,44,64,76,33,82,44,76,72,28,19,35,74,80,72,65,10,6,15,10,14,48,37,40,40,40,37,42,42,49,42,56,63,56,59,70,59,19,40,202,46,229,40,198,60,299,51,304,72,217,11,55,292,1414
Mirko Marić,Croatia,AC Monza,24,Italian Serie A,6'2,188 ,170,77,Striker (ST),Left,3,3,1,45,70,68,62,59,69,39,50,39,63,70,71,49,66,44,71,68,64,81,70,54,19,72,58,72,64,27,23,19,6,6,8,14,14,70,64,67,67,67,64,66,65,59,65,48,46,48,46,45,46,18,61,304,52,260,60,300,71,354,57,339,23,69,10,48,357,1610
Salvatore Molina,Italy,AC Monza,79,Italian Serie A,5'10,177 ,163,74,Right Midfielder (RM),Right,3,3,1,67,43,59,71,49,71,66,69,67,74,69,76,79,65,79,64,51,78,63,48,58,57,69,65,56,61,68,59,51,12,5,15,10,10,64,67,66,66,66,67,69,70,69,70,68,67,68,67,63,67,18,58,289,69,347,74,368,61,304,61,366,59,178,10,52,389,1838
Filippo Ranocchia,Italy,AC Monza,22,Italian Serie A,6'0,184 ,168,76,Center Midfielder (CM),Right,4,3,1,57,45,54,74,56,72,65,52,70,74,64,68,60,62,60,74,65,74,68,58,71,58,55,58,54,68,55,66,57,12,7,12,6,8,63,64,64,64,64,64,67,68,69,68,66,68,66,65,64,65,16,57,286,67,333,63,314,68,339,61,364,59,178,9,45,385,1869
Matteo Scozzarella,Italy,AC Monza,23,Italian Serie A,5'9,175 ,146,66,Center Attacking Midfielder (CAM),Right,3,3,1,66,59,49,73,69,66,73,71,68,70,67,68,84,66,83,63,58,65,52,69,72,66,65,73,69,69,56,53,49,7,9,8,12,10,65,68,67,67,67,68,68,68,68,68,65,66,65,64,60,64,18,63,316,70,348,74,368,61,307,69,414,53,158,9,46,388,1874
Valentin Antov,Bulgaria,AC Monza,26,Italian Serie A,6'1,185 ,165,75,Center Back (CB),Right,3,2,1,28,32,64,57,41,37,32,42,50,53,55,64,58,66,63,43,86,69,80,34,70,62,40,52,46,57,60,67,64,7,12,12,8,14,51,46,48,48,48,46,51,51,55,51,59,63,59,61,68,61,18,44,222,43,214,61,306,62,312,55,327,64,191,11,53,330,1588
Gabriele Ferrarini,Italy,AC Monza,25,Italian Serie A,5'11,180 ,154,70,Right Back (RB),Right,2,2,1,60,42,53,62,51,70,48,47,51,68,70,61,57,63,72,45,56,67,51,36,63,61,60,55,46,67,64,73,71,7,15,6,8,13,58,61,59,59,59,61,62,64,62,64,67,65,67,67,65,67,18,54,268,57,284,65,323,51,255,59,352,69,208,10,49,357,1679
Warren Bondo,France,AC Monza,38,Italian Serie A,5'10,177 ,139,63,Right Midfielder (RM),Right,2,3,1,50,53,51,64,38,71,58,39,60,73,76,76,80,62,75,67,66,66,62,51,67,61,59,57,59,69,54,65,52,14,7,7,7,14,64,65,64,64,64,65,66,67,65,67,64,64,64,64,62,64,18,51,256,60,301,74,369,62,312,62,372,57,171,10,49,383,1761
Alessandro Sorrentino,Italy,AC Monza,91,Italian Serie A,6'3,190 ,176,80,Goalkeeper (GK),Right,3,1,1,13,5,10,21,9,12,11,12,18,13,39,41,23,48,26,45,38,20,64,6,26,10,5,33,14,34,6,12,10,65,64,60,62,67,23,19,20,20,20,19,22,23,22,23,21,22,21,21,22,21,64,12,58,13,66,35,177,35,173,20,122,9,28,64,318,358,908
