Player Name,Nationality,Team,Kit Number,League,Height(inches),Height(cm),Weight(lbs),Weight(kg),Best Position,Best Foot,Weak Foot,Skill moves,International Reputation,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FreeKick Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Striker (ST),Left Wing (LW),Left Forward (LF),Center Forward (CF),Right Forward (RF),Right Wing (RW),Center Attacking Midfielder (CAM),Left Midfielder (LM),Center Midfielder (CM),Right Midfielder (RM),Left Wing Back (LWB),Center Defensive Midfielder (CDM),Right Wing Back (RWB),Left Back (LB),Center Back (CB),Right Back (RB),Goalkeeper (GK),Attacking Average,Attacking Total,Skill Average,Skill Total,Movement Average,Movement Total,Power Average,Power Total,Mentality Average,Mentality Total,Defending Average,Defending Total,Goalkeeping Average,Goalkeeping Total,Base stats,Total Stats
Bruno Henrique Corsini,Brazil,Al Ittihad,19,Saudi Professional League,5'10,179 ,165,75,Center Defensive Midfielder (CDM),Right,3,3,1,77,60,70,74,55,67,75,72,76,75,59,62,59,70,63,79,74,70,77,75,80,72,66,68,67,71,71,70,68,11,11,7,11,11,70,68,69,69,69,68,71,71,74,71,73,74,73,72,74,72,19,67,336,73,365,63,313,75,375,71,424,70,209,10,51,418,1997
Abdulaziz Al Bishi,Saudi Arabia,Al Ittihad,11,Saudi Professional League,5'8,173 ,161,73,Right Midfielder (RM),Left,2,3,1,60,59,47,62,54,72,72,59,62,69,89,89,86,59,88,64,82,72,66,55,53,28,60,63,51,67,21,26,31,10,12,6,14,16,65,68,66,66,66,68,68,69,62,69,55,51,55,52,44,52,20,56,282,67,334,82,411,68,339,54,322,26,78,12,58,376,1757
Ahmed Sharahili,Saudi Arabia,Al Ittihad,20,Saudi Professional League,6'1,185 ,170,77,Center Back (CB),Left,2,2,1,51,31,75,62,28,53,32,26,56,62,70,78,72,67,62,24,80,85,80,27,64,69,34,49,41,66,66,67,65,6,12,9,14,15,52,54,51,51,51,54,56,59,60,59,68,68,68,69,69,69,20,49,247,46,229,70,349,59,296,54,323,66,198,11,56,361,1632
Hamdan Al Shamrani,Saudi Arabia,Al Ittihad,27,Saudi Professional League,5'10,178 ,170,77,Left Back (LB),Left,2,2,1,61,49,66,58,56,64,58,53,49,60,88,91,78,60,54,60,90,88,73,57,76,58,61,50,52,54,54,62,67,9,6,7,7,13,64,63,61,61,61,63,62,66,61,66,68,63,68,68,66,68,16,58,290,57,284,74,371,74,368,59,351,61,183,8,42,400,1835
Abdulrahman Al Obud,Saudi Arabia,Al Ittihad,24,Saudi Professional League,5'9,174 ,154,70,Left Midfielder (LM),Right,2,3,1,58,63,48,61,47,70,50,37,48,69,84,87,81,59,76,67,61,69,61,58,33,43,65,56,52,49,47,38,37,8,5,12,14,14,66,67,66,66,66,67,67,67,61,67,59,54,59,57,50,57,18,55,277,55,274,77,387,63,316,50,298,41,122,11,53,374,1687
Muhannad Al Shanqeeti,Saudi Arabia,Al Ittihad,13,Saudi Professional League,5'8,173 ,154,70,Right Back (RB),Right,3,2,1,57,34,46,63,37,64,41,28,59,60,72,77,71,60,70,44,64,73,60,31,57,64,53,44,35,48,58,64,65,9,6,13,9,12,54,57,55,55,55,57,58,62,60,62,66,63,66,66,62,66,17,47,237,50,252,70,350,54,272,50,301,62,187,10,49,354,1600
Omar Hawsawi,Saudi Arabia,Al Ittihad,5,Saudi Professional League,6'1,185 ,168,76,Center Back (CB),Right,2,2,1,26,20,67,60,21,41,30,26,44,44,46,47,65,58,42,40,83,60,84,32,75,60,45,36,36,55,60,61,68,10,8,7,11,10,47,42,43,43,43,42,47,46,50,46,55,60,55,58,65,58,17,39,194,37,185,52,258,60,299,51,307,63,189,9,46,303,1427
Ahmed Ba Masoud,Saudi Arabia,Al Ittihad,95,Saudi Professional League,5'9,175 ,154,70,Left Wing Back (LWB),Left,3,2,1,62,44,44,57,39,61,61,62,54,58,79,79,69,58,55,59,66,82,62,52,58,56,54,44,38,48,55,59,62,8,12,9,7,5,57,59,57,57,57,59,58,62,58,62,65,60,65,64,60,64,16,49,246,59,296,68,340,64,321,50,298,59,176,8,41,365,1670
Madallah Al Olayan,Saudi Arabia,Al Ittihad,33,Saudi Professional League,5'7,170 ,150,68,Right Back (RB),Right,3,2,1,58,41,49,62,47,61,55,46,59,63,68,69,67,61,74,53,67,72,69,46,69,60,52,60,47,65,61,65,56,9,16,14,8,12,57,59,57,57,57,59,61,63,62,63,64,64,64,64,64,64,19,51,257,57,284,68,339,61,307,59,353,61,182,12,59,367,1716
Mohammed Al Saiari,Saudi Arabia,Al Ittihad,80,Saudi Professional League,6'0,182 ,176,80,Striker (ST),Right,3,2,1,44,64,66,62,55,61,57,67,56,58,68,69,65,59,58,62,81,64,74,59,86,36,61,44,46,55,33,28,35,7,7,10,10,7,63,59,60,60,60,59,61,61,57,61,51,52,51,50,52,50,16,58,291,60,299,64,319,68,340,55,328,32,96,8,41,354,1659
Abdullah Al Jadaani,Saudi Arabia,Al Ittihad,21,Saudi Professional League,5'11,180 ,174,79,Goalkeeper (GK),Right,3,1,1,14,16,15,33,19,15,18,15,28,18,49,50,47,60,67,43,56,42,49,14,35,18,13,48,22,49,14,16,15,64,57,57,59,63,29,27,28,28,28,27,32,31,32,31,29,30,29,29,27,29,61,19,97,19,94,55,273,41,204,31,185,15,45,60,300,349,1149
