Player Name,Nationality,Team,Kit Number,League,Height(inches),Height(cm),Weight(lbs),Weight(kg),Best Position,Best Foot,Weak Foot,Skill moves,International Reputation,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FreeKick Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Striker (ST),Left Wing (LW),Left Forward (LF),Center Forward (CF),Right Forward (RF),Right Wing (RW),Center Attacking Midfielder (CAM),Left Midfielder (LM),Center Midfielder (CM),Right Midfielder (RM),Left Wing Back (LWB),Center Defensive Midfielder (CDM),Right Wing Back (RWB),Left Back (LB),Center Back (CB),Right Back (RB),Goalkeeper (GK),Attacking Average,Attacking Total,Skill Average,Skill Total,Movement Average,Movement Total,Power Average,Power Total,Mentality Average,Mentality Total,Defending Average,Defending Total,Goalkeeping Average,Goalkeeping Total,Base stats,Total Stats
Nnamdi Collins,Germany,Borussia Dortmund,41,German 1. Bundesliga,6'3,191 ,185,84,Center Back (CB),Right,3,2,1,44,22,62,48,24,44,23,20,36,49,83,86,63,51,57,33,72,53,78,21,56,59,30,34,25,44,53,64,59,12,8,8,10,8,46,46,44,44,44,46,46,50,46,50,58,55,58,60,63,60,16,40,200,34,172,68,340,51,257,41,248,59,176,9,46,324,1395
Göktan Gürpüz,Germany,Borussia Dortmund,42,German 1. Bundesliga,5'9,176 ,150,68,Center Attacking Midfielder (CAM),Right,4,3,1,52,43,37,64,47,67,53,41,62,66,68,62,82,64,77,46,59,53,42,39,40,49,52,64,45,53,51,38,39,15,11,10,10,12,54,60,59,59,59,60,63,63,61,63,56,56,56,54,49,54,20,49,243,58,289,71,353,48,239,51,303,43,128,12,58,326,1560
Lion Semić,Germany,Borussia Dortmund,37,German 1. Bundesliga,5'7,169 ,150,68,Right Wing Back (RWB),Right,4,3,1,58,39,39,60,32,63,45,38,36,61,87,77,75,52,79,43,61,58,65,33,63,53,47,38,32,44,51,59,62,12,8,11,7,15,53,58,54,54,54,58,56,60,53,60,62,57,62,61,58,61,17,46,228,49,243,74,370,52,260,46,277,57,172,11,53,350,1559
Abdoulaye Kamara,Guinea,Borussia Dortmund,32,German 1. Bundesliga,6'0,182 ,165,75,Center Defensive Midfielder (CDM),Right,3,3,1,47,39,59,64,44,67,53,40,66,65,66,68,77,59,71,58,64,55,68,34,56,57,49,58,39,59,49,65,62,6,10,10,6,14,58,58,58,58,58,58,61,61,62,61,61,63,61,61,62,61,17,51,253,58,291,68,341,56,279,53,318,59,176,9,46,355,1645
Mike Maignan,France,AC Milan,16,Italian Serie A,6'3,191 ,196,89,Goalkeeper (GK),Right,4,1,2,18,15,17,57,16,31,38,16,53,40,50,53,41,85,56,64,74,39,78,20,35,25,15,61,15,66,23,16,19,85,82,85,85,89,40,38,41,41,41,38,46,44,47,44,38,43,38,36,37,36,87,25,123,36,178,57,285,55,275,36,217,19,58,85,426,477,1496
Theo Hernández,France,AC Milan,19,Italian Serie A,6'0,184 ,179,81,Left Wing Back (LWB),Left,3,3,3,84,69,74,79,66,83,69,64,68,79,92,94,78,85,76,83,68,90,81,72,82,78,80,73,50,80,74,81,80,12,10,7,7,7,82,81,80,80,80,81,82,84,81,84,86,82,86,85,82,85,20,74,372,73,363,85,425,79,394,74,443,78,235,9,43,483,2195
Fikayo Tomori,England,AC Milan,23,Italian Serie A,6'1,185 ,174,79,Center Back (CB),Right,4,2,2,56,33,83,73,32,61,38,40,65,66,80,90,74,84,71,56,83,73,84,45,83,85,37,48,27,81,86,89,82,10,13,10,11,7,62,61,60,60,60,61,63,65,67,65,79,79,79,81,86,81,20,55,277,54,270,80,399,68,341,60,361,86,257,10,51,419,1875
Rafael da Conceição Leão,Portugal,AC Milan,17,Italian Serie A,6'2,188 ,179,81,Left Wing (LW),Right,4,4,1,75,80,63,76,74,89,80,60,63,86,90,92,82,83,80,80,62,77,80,72,60,24,82,74,63,81,22,24,21,10,12,15,11,9,82,83,82,82,82,83,83,84,74,84,61,56,61,57,48,57,21,74,368,76,378,85,427,74,371,64,384,22,67,11,57,428,1971
Sandro Tonali,Italy,AC Milan,8,Italian Serie A,5'11,181 ,174,79,Center Defensive Midfielder (CDM),Right,4,3,1,78,69,70,84,68,75,75,81,81,83,78,83,81,82,83,79,65,85,81,81,84,81,75,78,64,84,81,81,75,13,9,8,7,7,78,78,78,78,78,78,81,81,83,81,83,84,83,82,81,82,19,74,369,79,395,81,407,78,391,78,466,79,237,9,44,475,2225
Ismaël Bennacer,Algeria,AC Milan,4,Italian Serie A,5'9,175 ,154,70,Center Midfielder (CM),Left,3,4,2,72,63,62,85,64,86,73,73,83,85,81,73,87,83,89,75,78,82,69,74,86,81,66,81,68,80,76,80,76,9,12,10,16,15,75,78,78,78,78,78,82,81,83,81,82,83,82,80,79,80,23,69,346,80,400,83,413,76,378,77,462,77,232,12,62,464,2213
Zlatan Ibrahimović,Sweden,AC Milan,11,Italian Serie A,6'5,195 ,225,102,Striker (ST),Right,4,5,5,71,84,82,77,87,75,79,74,72,85,55,61,67,77,51,86,77,34,85,85,84,20,88,83,80,90,28,37,24,13,15,10,9,12,82,77,80,80,80,77,82,77,75,77,54,59,54,52,55,52,22,80,401,77,385,62,311,73,367,74,445,30,89,12,59,402,1967
Olivier Giroud,France,AC Milan,9,Italian Serie A,6'4,192 ,205,93,Striker (ST),Left,3,3,3,64,86,91,78,86,69,71,65,60,85,41,43,54,84,53,86,82,55,90,69,76,42,87,78,90,85,37,37,20,12,15,11,6,5,82,73,77,77,77,73,78,74,75,74,57,63,57,55,60,55,21,81,405,70,350,55,275,76,382,76,458,31,94,10,49,390,1928
Simon Kjær,Denmark,AC Milan,24,Italian Serie A,6'3,190 ,190,86,Center Back (CB),Right,3,2,3,50,55,80,75,37,52,52,66,70,69,55,68,55,78,55,74,77,63,83,41,83,84,31,55,61,70,86,84,78,6,10,13,10,15,65,58,59,59,59,58,63,63,68,63,74,80,74,77,82,77,21,59,297,62,309,62,311,68,338,64,384,83,248,11,54,402,1871
Davide Calabria,Italy,AC Milan,2,Italian Serie A,5'10,177 ,154,70,Right Back (RB),Right,3,3,2,77,48,64,74,60,71,74,48,70,73,80,78,81,78,81,68,72,82,65,71,80,79,51,62,48,78,82,82,78,8,14,15,12,7,66,69,67,67,67,69,70,73,73,73,80,78,80,80,78,80,20,65,323,67,336,80,398,72,358,66,398,81,242,11,56,432,2033
Ante Rebić,Croatia,AC Milan,12,Italian Serie A,6'1,185 ,172,78,Striker (ST),Right,4,4,1,76,80,73,78,81,83,75,66,67,81,83,88,74,84,71,83,66,78,80,79,84,39,80,74,65,75,48,50,31,13,15,12,13,14,80,80,80,80,80,80,80,80,76,80,67,66,67,65,62,65,23,78,388,74,372,80,400,77,386,70,417,43,129,13,67,449,2084
Alessandro Florenzi,Italy,AC Milan,25,Italian Serie A,5'8,173 ,148,67,Right Back (RB),Right,4,3,3,76,73,70,83,84,75,71,71,76,84,79,74,86,77,82,82,72,75,50,81,66,77,69,80,73,79,76,74,70,9,8,10,11,10,78,78,77,77,77,78,79,79,79,79,79,79,79,79,75,79,20,77,386,75,377,80,398,72,360,74,444,73,220,10,48,446,2154
Charles De Ketelaere,Belgium,AC Milan,90,Italian Serie A,6'4,192 ,174,79,Center Attacking Midfielder (CAM),Left,4,4,1,74,78,75,77,76,83,73,72,77,83,73,77,78,76,64,77,69,83,75,74,57,61,77,79,67,79,45,61,57,11,8,14,8,8,80,78,79,79,79,78,81,81,79,81,72,71,72,70,66,70,18,76,380,78,388,74,368,76,378,70,420,54,163,10,49,438,2067
Brahim Díaz,Spain,AC Milan,10,Italian Serie A,5'7,171 ,130,59,Center Attacking Midfielder (CAM),Right,5,4,1,66,69,30,83,55,82,74,61,74,83,81,75,89,72,91,70,66,65,44,71,41,30,73,78,58,72,40,23,21,13,9,13,10,6,70,77,76,76,76,77,80,78,74,78,59,57,59,53,42,53,19,61,303,75,374,82,408,63,316,59,352,28,84,10,51,385,1816
Pierre Kalulu,France,AC Milan,20,Italian Serie A,6'0,184 ,152,69,Center Back (CB),Right,3,2,1,70,43,75,78,44,64,65,44,65,74,77,83,69,77,69,66,76,72,75,51,77,77,60,59,49,77,78,82,78,12,5,13,9,11,67,67,66,66,66,67,69,71,71,71,78,77,78,79,80,79,19,62,310,62,312,75,375,68,340,67,399,79,238,10,50,421,1947
Alexis Saelemaekers,Belgium,AC Milan,56,Italian Serie A,5'11,180 ,159,72,Right Midfielder (RM),Right,4,3,1,80,68,45,79,65,81,76,67,72,81,82,80,87,76,77,64,77,83,59,72,68,65,74,71,44,74,68,66,61,9,6,9,12,12,72,78,75,75,75,78,79,80,77,80,76,73,76,74,67,74,19,67,337,75,377,80,402,71,355,66,396,65,195,10,48,437,2035
