Name,Team,Height,Weight,Jersey Number,Position Shorthand,Position Longhand,Country,Overall,Potential,Stats,Detailed link
Kevin De Bruyne,Manchester City,"5'11""																",154lbs,#17 ,CM,Center Midfielder,Belgium,91,91,2298,https://www.fifaratings.com/kevin-de-bruyne
Erling Haaland,Manchester City,"6'5""																",207lbs,#9 ,ST,Striker,Norway,89,94,2123,https://www.fifaratings.com/erling-haaland
Ederson,Manchester City,"6'2""																",190lbs,#31 ,GK,Goalkeeper,Brazil,89,91,1582,https://www.fifaratings.com/ederson-santana-de-moraes
Rúben Dias,Manchester City,"6'2""																",181lbs,#3 ,CB,Centre Back,Portugal,88,91,1894,https://www.fifaratings.com/ruben-santos-gato-alves-dias
João Cancelo,Manchester City,"6'0""																",163lbs,#7 ,LB,Left Back,Portugal,88,88,2260,https://www.fifaratings.com/joao-pedro-cavaco-cancelo
Bernardo Silva,Manchester City,"5'8""																",141lbs,#20 ,CAM,Center Attacking Midfielder,Portugal,88,88,2200,https://www.fifaratings.com/bernardo-mota-carvalho-e-silva
Rodri,Manchester City,"6'3""																",181lbs,#16 ,CDM,Center Defensive Midfielder,Spain,87,89,2133,https://www.fifaratings.com/rodrigo-hernandez-cascante
Aymeric Laporte,Manchester City,"6'3""																",187lbs,#14 ,CB,Centre Back,Spain,86,87,1962,https://www.fifaratings.com/aymeric-laporte
Phil Foden,Manchester City,"5'7""																",152lbs,#47 ,CAM,Center Attacking Midfielder,England,85,92,2094,https://www.fifaratings.com/phil-foden
Riyad Mahrez,Manchester City,"5'10""																",148lbs,#26 ,RW,Right Winger,Algeria,85,85,2048,https://www.fifaratings.com/riyad-mahrez
İ. Gündoğan,Manchester City,"5'11""																",176lbs,#8 ,CM,Center Midfielder,Germany,85,85,2196,https://www.fifaratings.com/ilkay-gundogan
Kyle Walker,Manchester City,"6'0""																",183lbs,#2 ,RB,Right Back,England,85,85,2196,https://www.fifaratings.com/kyle-walker
Jack Grealish,Manchester City,"5'11""																",179lbs,#10 ,LW,Left Winger,England,84,84,2017,https://www.fifaratings.com/jack-grealish
John Stones,Manchester City,"6'2""																",168lbs,#5 ,CB,Centre Back,England,83,84,1968,https://www.fifaratings.com/john-stones
Kalvin Phillips,Manchester City,"5'10""																",159lbs,#4 ,CDM,Center Defensive Midfielder,England,81,84,2096,https://www.fifaratings.com/kalvin-phillips
Manuel Akanji,Manchester City,"6'2""																",201lbs,#25 ,CB,Centre Back,Switzerland,81,82,1963,https://www.fifaratings.com/manuel-akanji
Stefan Ortega,Manchester City,"6'1""																",194lbs,#18 ,GK,Goalkeeper,Germany,80,80,1400,https://www.fifaratings.com/stefan-ortega
J. Álvarez,Manchester City,"5'8""																",157lbs,#19 ,CAM,Center Attacking Midfielder,Argentina,79,86,2124,https://www.fifaratings.com/julian-alvarez
Nathan Aké,Manchester City,"5'11""																",165lbs,#6 ,CB,Centre Back,Netherlands,79,81,1994,https://www.fifaratings.com/nathan-ake
Sergio Gómez,Manchester City,"5'7""																",150lbs,#21 ,CAM,Center Attacking Midfielder,Spain,74,83,2061,https://www.fifaratings.com/sergio-gomez-martin
Cole Palmer,Manchester City,"6'2""																",163lbs,#80 ,CAM,Center Attacking Midfielder,England,66,83,1734,https://www.fifaratings.com/cole-palmer
Morgan Rogers,Manchester City,"6'2""																",176lbs,#38 ,RM,Right Midfielder,England,66,79,1658,https://www.fifaratings.com/morgan-rogers
Scott Carson,Manchester City,"6'3""																",190lbs,#33 ,GK,Goalkeeper,England,65,65,1109,https://www.fifaratings.com/scott-carson
Rico Lewis,Manchester City,"5'9""																",154lbs,#82 ,RB,Right Back,England,61,82,1492,https://www.fifaratings.com/rico-lewis
Ben Knight,Manchester City,"5'7""																",130lbs,#96 ,CAM,Center Attacking Midfielder,England,60,74,1496,https://www.fifaratings.com/ben-knight
Alex Robertson,Manchester City,"5'11""																",146lbs,#93 ,CAM,Center Attacking Midfielder,England,58,78,1593,https://www.fifaratings.com/alex-robertson
J. Wilson-Esbrand,Manchester City,"5'9""																",143lbs,#97 ,LB,Left Back,England,58,76,1478,https://www.fifaratings.com/joshua-wilson-esbrand
